0,1
Medida,[GR-01] Fortalecer un abordaje articulado de los riesgos\ntransfronterizos de origen climático para diversos sectores y\nregiones del país
Descripción,"Identificación de iniciativas que abordan riesgos transfronterizos,\nsistematización de información,  fortalecimiento de diagnósticos y\nelaboración de estrategia para abordaje integral y articulado de estos\nriesgos."
Metas,"Al 2025:\nSe cuenta con una sistematización de las iniciativas existentes\nque abordan riesgos transfronterizos.\nSe cuenta con un diagnóstico de riesgos transfronterizos.\nAl 2027, se incorporan estrategias para el abordaje de los riesgos\ntransfronterizos en la actualización del Plan Nacional de Adaptación y\nMitigación al Cambio Climático y el Plan Nacional de Reducción del\nRiesgo de Desastres."
Alcance geográfico o poblacional,Nacional (con análisis específicos en fronteras internacionales).
"Adaptación, mitigación o pérdidas y daños",Adaptación
Riesgos climáticos asociados,Es transversal a todos los riesgos priorizados.
Reducción estimada de emisiones al 2030 (MtCO2e),N/A
Autoridad de aplicación,Ministerio de Seguridad\nMinisterio de Ambiente y Desarrollo Sostenible
Estado de implementación,En programación
Período de ejecución,2023 - 2027
Estimación de gastos al 2030,A definir
Financiamiento,Fuentes internacionales
Instrumentos y herramientas de implementación,Proyecto binacional Uruguay-Argentina sobre adaptación al\ncambio climático en ciudades y ecosistemas costeros vulnerables\ndel río Uruguay: provee de espacios y oportunidades para\ntrabajar el tema. Deben evaluarse otros instrumentos existentes.
Necesidades y barreras,"Falta de información actualizada sobre diversas variables\nclimáticas.\nFalta de disponibilidad de información sobre tendencias\nclimáticas a una escala adecuada\nNecesidad de establecer acuerdos institucionales a diversas\nescalas (municipal, provincial y transnacional)."
Indicadores para el monitoreo.,Diagnóstico y medidas para abordar los riesgos climáticos\ntransfronterizos incorporadas al PNAyMCC y en el PNRRD.\nDocumento conteniendo el diagnóstico de riesgos climáticos\ntransfronterizos elaborado.
Análisis enfoque de género y diversidad,Potencialmente transformadora de las brechas de género.
Análisis enfoque de gestión integral del riesgo,Medida que genera reducción del riesgo climático.
Análisis enfoque de salud,A definir
Análisis enfoque de transición justa,A definir
Cobeneficios entre adaptación y mitigación,No se identifican sinergias ni concesiones con la reducción de\nemisiones GEI.
Relación con la Ley 27.520,Capítulo IV. Capítulo IV: Medidas y Acciones Mínimas de Adaptación.\nArtículo 18. Inc. d) y h); Artículo 22. Inc. d).
Medida,"[GR-02] Establecer una metodología para desarrollar una línea\nde base de pérdidas y daños, en articulación con las áreas de\ngobierno competentes"
,[GR-02] Establecer una metodología para desarrollar una línea
,"de base de pérdidas y daños, en articulación con las áreas de"
,gobierno competentes
Descripción,"Relevamiento de los antecedentes y otras metodologías ya utilizadas,\npara realizar una primera propuesta."
Metas,"Al 2023:\nSe cuenta con una propuesta unificada de metodologías para la\nevaluación de pérdidas y daños;\nSe cuenta con un procedimiento de reporte de pérdidas y daños.\nAl 2025, se cuenta con un equipo nacional de evaluación de pérdidas y\ndaños (plena implementación Equipo ENED – SINAGIR)."
Alcance geográfico o poblacional,Nacional
"Adaptación, mitigación o pérdidas y daños",Pérdidas y daños
Riesgos climáticos asociados,N/A
Reducción estimada de emisiones al 2030 (MtCO2e),N/A
Autoridad de aplicación,Ministerio de Seguridad\nMinisterio de Ambiente y Desarrollo Sostenible
Estado de implementación,En implementación inicial
"[GR-02] Establecer una metodología para desarrollar una línea de base de pérdidas y daños, en articulación con las áreas de gobierno competentes",
[GR-02] Establecer una metodología para desarrollar una línea,
"de base de pérdidas y daños, en articulación con las áreas de",
gobierno competentes,
Período de ejecución,2023 - 2025
Estimación de gastos al 2030,150.000 de USD
Financiamiento,Fuentes internacionales
Instrumentos y herramientas de implementación,ProyectobinacionalUruguay-Argentinasobreadaptaciónal\ncambio climático en ciudades y ecosistemas costeros vulnerables\ndelríoUruguay:proveedeespaciosyoportunidadespara\ntrabajar el tema.\nImplementación plena metodología CEPAL.
Necesidades y barreras,Insuficienteinformaciónsobrealgunastemáticasyqueesté\nactualizada.\nInsuficiente continuidad en la serie de información documentada.\nInsuficientearticulaciónentreáreasdegobiernoparael\nintercambio de información.\nAlgunas pérdidas y daños no son cuantificables.
Indicadores para el monitoreo.,Metodologíaunificadasobrepérdidasydañosdesarrollada.\n(CEPAL)\nLínea de base sobre las pérdidas y daños asociadas al cambio\nclimático a nivel nacional establecida.\nProcedimiento de reporte establecido.\nCumplimiento de indicadores internacionales.
Análisis enfoque de género y diversidad,Potencialmente transformadora de las brechas de género.
Análisis enfoque de gestión integral del,N/A
riesgo,
Análisis enfoque de salud,A definir
Análisis enfoque de transición justa,A definir
Cobeneficios entre adaptación y mitigación,Esta medida no requiere análisis de cobeneficios.
Relación con la Ley 27.520,CapítuloIII:PlanNacionaldeAdaptaciónyMitigaciónalCambio\nClimático. Artículo 18. Inc. b).
Medida,[GR-03] Desarrollar una visión y narrativa nacional sobre las\npérdidas y daños asociadas al cambio climático
,[GR-03] Desarrollar una visión y narrativa nacional sobre las
,pérdidas y daños asociadas al cambio climático
Descripción,Identificación de los puntos de convergencia entre la comunidad de\nGestión Integral del Riesgo y la adaptación para la formulación de una\nvisión y narrativa de pérdidas y daños asociados al cambio climático.
Metas,"A 2023, se cuenta con una visión nacional sobre las pérdidas y daños\nasociados al cambio climático, para su incorporación en la próxima\nactualización del PNAyMCC y el PNRRD.\nA 2023, se continúa implementando la metodología CEPAL, su\ninstitucionalización y la conformación del Equipo ENED (Equipo\nNacional de Evaluación de Daños) – SINAGIR."
Alcance geográfico y/o poblacional,Nacional
"Adaptación, mitigación o pérdidas y daños",Pérdidas y daños
Riesgos climáticos asociados,Es transversal a todos los riesgos.
Reducción estimada de emisiones al 2030 (MtCO2e),N/A
Autoridad de aplicación,Ministerio de Seguridad\nMinisterio de Ambiente y Desarrollo Sostenible
Estado de implementación,En programación
[GR-03] Desarrollar una visión y narrativa nacional sobre las pérdidas y daños asociadas al cambio climático,
[GR-03] Desarrollar una visión y narrativa nacional sobre las,
pérdidas y daños asociadas al cambio climático,
Período de ejecución,2022 - 2023
Estimación de gastos al 2030,N/A
Financiamiento,Fuentes internacionales
Instrumentos y herramientas de implementación,"Plan Nacional de Adaptación y Mitigación al Cambio Climático,\nPlan Nacional de Reducción de Riesgos de Desastres, entre\notros.\nMetodología CEPAL."
Necesidades y barreras,"Necesidad de articular las concepciones teórico metodológicas\nque utiliza cada área competente, para fortalecer y unificar\nesta dimensión de la política climática nacional.\nFalta de información actualizada sobre la temática."
Indicadores para el monitoreo,Documento conteniendo la visión y narrativa nacional sobre\nlas pérdidas y daños asociadas al cambio climático elaborado.\nIndicadores de monitoreo CEPAL.\nIndicadores de monitoreo Internacionales.
Análisis enfoque de género y diversidad,Potencialmente transformadora de las brechas de género.
Análisis enfoque de gestión integral del riesgo,N/A
