Título,Año,Descripción,Autor,Tipo de archivo,Link sinia,Link externo,Link,Código,Perfil,Clasificación,documentos complementarios,ampyd,Ubicación en la estructura
Establecimientos de atención de la salud y Adaptación al Cambio Climático,2023,,Inés Asís,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/377/Establecimientos%20de%20atenci%C3%B3n%20de%20la%20salud%20y%20adaptaci%C3%B3n%20al%20cambio%20clim%C3%A1tico.pdf,,"Público general, Gestores públicos locales, Gestores públicos provinciales, Gestores públicos nacionales",,Estrategia Nacional de Salud y Cambio Climático,Adaptación,¿Que esta haciendo el estado nacional - Marco Nacional - Sectores en la accion climática-salud
Abordaje de las enfermedades transmitidas por vectores en el contexto de cambio climático,2023,,Lara Della Cecca,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/379/Vectores%20y%20cambio%20clim%C3%A1tico.pdf,,"Público general, Gestores públicos locales, Gestores públicos provinciales, Gestores públicos nacionales",Capacitaciones,Estrategia Nacional de Salud y Cambio Climático,Adaptación,¿Que esta haciendo el estado nacional - Marco Nacional - Sectores en la accion climática-salud
Movilidad humana y cambio climático: Aproximación conceptual y abordaje en el contexto argentino  ,2023,,"Gómez, P; Cruells, L, Peralta, M, Falivene Fernández M. L",Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/398/Movilidad%20Humana%20y%20Cambio%20Clim%C3%A1tico.pdf,,"Público general, Gestores públicos locales, Gestores públicos provinciales, Gestores públicos nacionales",Solo en biblioteca general,Pérdidas y daños,Adaptación,Gestión climática - sobre pérdidas y daños
"Actualización de índices de
vulnerabilidad social frente a
desastres
Avance 2022",2022,,Claudia Natenzon ,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/418/Actualizaci%C3%B3n%20de%20%C3%ADndices%20de%20vulnerabilidad%20social%20frente%20a%20desastres.%20Avance%202022..pdf,,"Gestores públicos locales, Gestores públicos provinciales, Gestores públicos nacionales",Solo en biblioteca general,Adaptación,Adaptación,Gestión climática -sobre adaptación
Resumen ejecutivo: La percepción de la sociedad argentina sobre el cambio climático,2022,Resumen ejecutivo,Carmelo Polino,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/399/La%20percepci%C3%B3n%20de%20la%20Sociedad%20Argentina%20sobre%20el%20cambio%20clim%C3%A1tico%20-%202022.pdf,,Público general,Ciudadanía,-,Adaptación,
Informe la percepción de la sociedad argentina sobre el cambio climático,2023,,Carmelo Polino,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/570/La%20percepci%C3%B3n%20de%20la%20sociedad%20argentina%20sobre%20cambio%20clim%C3%A1tico%202023.pdf,,Público general,Ciudadanía,-,Adaptación,
Lineamientos para la elaboración de planes de respuesta al cambio climático: Componente de adaptación,2021,,"Falivene Fernández, M. L.; Cundari, A.; Calvet, M.A.; Vázquez, M.",Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/401/Lineamientos%20para%20la%20elaboraci%C3%B2n%20de%20planes%20de%20respuesta%20al%20cambio%20clim%C3%A1tico.pdf,,"Gestores públicos nacionales, Gestores públicos provinciales, Gestores públicos locales",Solo en biblioteca general,Planes de respuesta,Adaptación,¿Que esta haciendo el estado nacional - Marco Nacional - Ley 27520 - Planes de respuesta
Lineamientos para incorporar el enfoque Adaptación basada en Ecosistemas en Planes de Respuesta al Cambio Climático.,2021,Publicación con marco conceptual de enfoque de adaptación basado en ecosistemas. Recomendaciones .,"Calvet, M.A.; Vázquez, M.",Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/403/Lineamientos%20para%20la%20transversalizaci%C3%B3n%20de%20la%20adaptaci%C3%B3n%20basada%20en%20ecosistemas%20en%20los%20planes%20de%20respuesta.pdf,,"Gestores públicos nacionales, Gestores públicos provinciales, Gestores públicos locales",Solo en biblioteca general,Planes de respuesta,Adaptación,¿Que esta haciendo el estado nacional - Marco Nacional - Ley 27520 - Planes de respuesta
Lineamientos para incorporar el enfoque Adaptación basada en Comunidades en Planes de Respuesta al Cambio Climático.,2021,Publicación con marco conceptual de enfoque de adaptación basado en comunidades. Recomendaciones .,"Cruells, L.; Falivene, Fernández, M. L; Cundari, A; Busconi, A",Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/400/Lineamientos%20para%20incorporar%20el%20enfoque%20de%20Adaptaci%C3%B3n%20basada%20en%20Comunidades%20en%20Planes%20de%20Respuesta%20al%20Cambio%20Clim%C3%A1tico.pdf,,"Gestores públicos nacionales, Gestores públicos provinciales, Gestores públicos locales",Solo en biblioteca general,Planes de respuesta,Adaptación,¿Que esta haciendo el estado nacional - Marco Nacional - Ley 27520 - Planes de respuesta
Cambio climático desde la visión de los Pueblos Indígenas,2023,,Daniela García; Adriana Menegaz; María Leticia Cruells; María del Valle Peralta,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/405/Cambio%20clim%C3%A1tico%20desde%20la%20visi%C3%B3n%20de%20los%20Pueblos%20Ind%C3%ADgenas.pdf,,"Pueblos indigenas, Docentes",Comunidad Educativa,Educación Intercultural Plurilingue,Adaptación,¿Que esta haciendo el estado nacional - Marco Nacional -Sectores en la accion climática - Interculturalidad
