Código de medida,Línea/enfoque,Línea de acción,Título de medida,"Adaptación, Mitigación o Pérdidas y daños",Columna1,Etiquetas de fila,Cuenta de Código de medida
GR-01,Gestión integral del Riesgo,Análisis de impactos y riesgos climáticos en los diferentes ambientes geográficos del territorio nacional,Fortalecer un abordaje articulado de los riesgos transfronterizos de origen climático para diversos sectores y regiones del país,Adaptación,,Ampliar y mejorar el sistema de transmisión eléctrica considerando los escenarios futuros de cambio climático,1
GR-02,Gestión integral del Riesgo,Análisis de impactos y riesgos climáticos en los diferentes ambientes geográficos del territorio nacional,"Establecer una metodología para desarrollar una línea de base de pérdidas y daños, en articulación con las áreas de gobierno competentes",Pérdidas y daños,,Aprovechar de manera sostenible la biomasa residual del sector agropecuario y agroindustrial,1
GR-03,Gestión integral del Riesgo,Análisis de impactos y riesgos climáticos en los diferentes ambientes geográficos del territorio nacional,Desarrollar una visión y narrativa nacional sobre las pérdidas y daños asociadas al cambio climático,Pérdidas y daños,,"Aumentar el acceso seguro a energía en poblaciones rurales y urbanas, con foco en barrios populares",1
GR-04,Gestión integral del Riesgo,Análisis de impactos y riesgos climáticos en los diferentes ambientes geográficos del territorio nacional,Fortalecer el diagnóstico de impactos y riesgos sobre los distintos ecosistemas del país,Adaptación,,Aumentar la eficiencia en la generación de electricidad en centrales termoeléctricas mediante cogeneración,1
GR-05,Gestión integral del Riesgo,Fortalecimiento de los actores intervinientes en el SINAGIR,Promover la incorporación del enfoque de cambio climático en los Planes de Gestión Integral del Riesgo a nivel local,Adaptación,,Brindar acceso a energía a comunidades rurales aisladas a partir de fuentes renovables,1
GR-06,Gestión integral del Riesgo,Fortalecimiento de los actores intervinientes en el SINAGIR,"Promover el uso de sistemas de información geográfica (SIG) en los equipos técnicos de provincias, CABA y municipios",Adaptación,,Desarrollar la cadena de valor de energías renovables,1
GR-07,Gestión integral del Riesgo,Transversalización de la gestión integral del riesgo en la política climática nacional,Construir una visión consensuada respecto a la GIR y adaptación en la República Argentina e incorporar en el PNRRD (2018-2023),Adaptación,,Desarrollar mercados eléctricos regionales de energía renovable a baja escala,1
SA-01,Salud,Fortalecimiento de la gobernanza del sector Salud para afrontar los desafíos del cambio climático,Sostener y fortalecer el Programa Nacional y formalizar la mesa de trabajo de cambio climático al interior del Ministerio de Salud,Adaptación y Mitigación,,"Desarrollar planes de monitoreo, reporte, verificación y mitigación de emisiones de GEIs con objetivos de cumplimiento obligatorio por parte de las empresas",1
SA-02,Salud,Fortalecimiento de la gobernanza del sector Salud para afrontar los desafíos del cambio climático,Promover la creación de mesas de trabajo sobre cambio climático y salud en los Ministerio de Salud de las provincias,Adaptación,,"Diseño e implementación de instrumentos tendientes a la promoción y adopción de tecnologías para mejorar la eficiencia y reducir las emisiones de metano en operaciones de exploración, producción y/o procesamiento de hidrocarburos (upstream)",1
SA-03,Salud,Fortalecimiento de la gobernanza del sector Salud para afrontar los desafíos del cambio climático,Fortalecer las capacidades de los equipos de salud acerca de los efectos de la variabilidad climática y el cambio climático sobre la salud.,Adaptación,,Fortalecer la investigación y el desarrollo de la producción de hidrógeno bajo en carbono en el país,1
SA-04,Salud,Fortalecimiento de la gobernanza del sector Salud para afrontar los desafíos del cambio climático,Sensibilizar a la comunidad acerca de los efectos de la variabilidad climática y el cambio climático sobre la salud.,Adaptación,,"Fortalecer la planificación energética limpia, justa y sostenible",1
SA-05,Salud,Fortalecimiento del sistema de salud frente al cambio climático,"Fortalecer la capacidad de respuesta del sector salud, a partir de la obtención de información oportuna sobre eventos de temperatura extrema (de calor y de frío)",Adaptación,,"Fortalecer las capacidades de las autoridades de aplicación provincial en materia de identificación, monitoreo y control de emisiones operativas (quema y venteo) y fugitivas de gases de efecto invernadero y metano del upstream.",1
SA-06,Salud,Fortalecimiento del sistema de salud frente al cambio climático,Fortalecer la capacidad del sector salud para reducir los riesgos relacionados con los eventos de temperatura extrema (de calor y de frío),Adaptación,,Fortalecer las redes de distribución de energía eléctrica existentes para aumentar su resiliencia frente al cambio climático,1
SA-07,Salud,Fortalecimiento del sistema de salud frente al cambio climático,"Fortalecer la capacidad de respuesta del sector salud, a partir de la obtención de información oportuna relacionada con inundaciones",Adaptación,,Identificar redes de investigación e institutos como aporte para una Estrategia Nacional de H2,1
SA-08,Salud,Fortalecimiento del sistema de salud frente al cambio climático,Contribuir a la reducción de los riesgos para la salud relacionados con inundaciones a través de la implementación de medidas de promoción y protección de la salud,Adaptación,,Implementar proyectos de generación eléctrica a partir de fuentes renovables no convencionales conectadas a la red,1
SA-09,Salud,Fortalecimiento del sistema de salud frente al cambio climático,Fortalecer la capacidad del sector salud para reducir los riesgos relacionados con las sequías,Adaptación,,Implementar proyectos de reconversión LED en alumbrado público,1
SA-10,Salud,Fortalecimiento del sistema de salud frente al cambio climático,Fortalecer la capacidad del sector salud para asegurar el funcionamiento adecuado de los servicios de salud durante emergencias y desastres climáticos,Adaptación,,Incorporar bombas de calor para calefacción en inmuebles,1
SA-11,Salud,Fortalecimiento del sistema de salud frente al cambio climático,Contribuir a la reducción de los riesgos para la salud relacionados con enfermedades transmitidas por vectores a través de la implementación de medidas de promoción y protección de la salud,Adaptación,,Incorporar fuentes de energía renovable en industrias y comercios,1
SA-12,Salud,Fortalecimiento del sistema de salud frente al cambio climático,Fortalecer la capacidad del sector salud para afrontar los desafíos del cambio climático relacionados con enfermedades de origen zoonótico a través de acciones de promoción y protección de la salud,Adaptación,,Incrementar la participación de luminarias con tecnología LED en inmuebles.,1
SA-13,Salud,Fortalecimiento del sistema de salud frente al cambio climático,Fortalecer la capacidad del sector salud para afrontar los desafíos del cambio climático relacionados con enfermedades estacionales sensibles al clima,Adaptación,,Mejorar la eficiencia energética en establecimientos industriales y comerciales,1
SA-14,Salud,Fortalecimiento del sistema de salud frente al cambio climático,Fortalecer la capacidad del sector salud para afrontar los desafíos del cambio climático a partir de la integración de información en un observatorio de clima y salud,Adaptación,,Potenciar la generación hidroeléctrica considerando los escenarios futuros de cambio climático en las variables de diseño,1
SA-15,Salud,Fortalecimiento del sistema de salud frente al cambio climático,Desarrollar modelos predictivos del comportamiento de enfermedades sensibles al clima,Adaptación,,Potenciar la generación nuclear,1
SA-16,Salud,Fortalecimiento del sistema de salud frente al cambio climático,"Fortalecer la capacidad del sector salud, a partir de la obtención de información oportuna relacionada con enfermedades trasmitidas por vectores",Adaptación,,Promover el corte con biocombustibles,1
SA-17,Salud,Transversalización de la salud en la política climática nacional,Dimensionar las emisiones de gases de efecto invernadero (GEI) provenientes del sector salud,Mitigación,,Promover el uso del combustibles gaseosos en reemplazo de combustibles fósiles con mayor factor de emisión de GEI,1
SA-18,Salud,Transversalización de la salud en la política climática nacional,Definir acciones tendientes a la reducción de GEI en establecimientos de atención de la salud.,Mitigación,,Promover la adopción de biogás para uso final en el sector de transporte,1
SA-19,Salud,Transversalización de la salud en la política climática nacional,Identificar los beneficios para la salud de la reducción de emisiones de gases de efecto invernadero,Mitigación,,Promover la adopción del hidrógeno con bajas emisiones de gases de efecto invernadero y el desarrollo de la cadena de valor,1
SA-20,Salud,Transversalización de la salud en la política climática nacional,Identificar la contribuciones de las políticas sanitarias a la reducción de gases de efecto invernadero,Mitigación,,Promover la eficiencia energética en la producción de agua caliente sanitaria,1
TJ-01,Transición laboral justa,Coherencia política y fortalecimiento del diálogo social para el logro de una transición justa,Fortalecimientos de los espacios de coordinación inter e intra-estatales,Adaptación y Mitigación,,Promover la generación eléctrica distribuida de energía renovable integrada a la red eléctrica pública ,1
TJ-02,Transición laboral justa,Coherencia política y fortalecimiento del diálogo social para el logro de una transición justa,Identificación de consecuencias y prioridades de acción frente a los efectos del cambio climático y de las medidas de mitigación y adaptación al mismo en el mercado de trabajo,Adaptación y Mitigación,,Promover la incorporación de economizadores de agua en inmuebles,1
TJ-03,Transición laboral justa,Coherencia política y fortalecimiento del diálogo social para el logro de una transición justa,Creación de mesas tripartitas de diálogo para una Transición Justa,Adaptación,,Promover la instalación de colectores solares en viviendas,1
TJ-04,Transición laboral justa,Coherencia política y fortalecimiento del diálogo social para el logro de una transición justa,Promoción para la inclusión de cláusulas y contenidos relacionados con la ecología y con el empleo verde en la negociación colectiva,Adaptación,,Promover la mejora en el acondicionamiento térmico de ambientes en el sector residencial,1
TJ-05,Transición laboral justa,Desarrollo de competencias laborales y reconversión laboral para los nuevos empleos,Coordinación tripartita de políticas de educación y empleo hacia una transición justa,Adaptación,,Reducir la contaminación de los combustibles líquidos utilizados en el territorio nacional,1
TJ-06,Transición laboral justa,Desarrollo de competencias laborales y reconversión laboral para los nuevos empleos,Fomentar la inclusión de la transición justa en las políticas de formación profesional ,Adaptación,,Sensibilizar y concientizar a las comunidades sobre el uso racional de la energía,1
TJ-07,Transición laboral justa,Desarrollo de competencias laborales y reconversión laboral para los nuevos empleos,Impulsar la inclusión de nuevas formas de trabajo sustentables en la relación con las empresas ,Adaptación y Mitigación,,"Sustituir equipos de conservación de alimentos en viviendas, comercios y entidades con fines socio-comunitarios",1
TJ-08,Transición laboral justa,Desarrollo de competencias laborales y reconversión laboral para los nuevos empleos,Impulsar la formación para el empleo en los sectores productivos de la economía verde y circular ,Adaptación y Mitigación,,Total general,34
