,,,,Responsable BTR,Marco UEA (párrafo 9),Marco UEA (párrafo 10)
1. Percepción de la sociedad sobre los impactos del cambio climático y las medidas de adaptación,1.1 Interés por el cambio climático,1.1.1,Aumentar el nivel de alto interés por el cambio climático como un desafío que involucra al conjunto de la sociedad.,Luz,,
,1.2 Información y conocimiento sobre cambio climático,1.2.1,"Aumentar la información y el conocimiento sobre cambio climático, especialmente entre la población con menos nivel educativo y socioeconómico.",Luz,,
,,1.2.2,"Aumentar el conocimiento y el uso de los recursos institucionales sobre cambio climático (webs, mapas de riesgo, plataformas, etc.).",Luz,,
,,1.2.3,Aumentar la proporción de la población interesada e informada sobre el cambio climático.,Luz,,
,,1.2.4,"Informar a la sociedad sobre las medidas de adaptación existentes a nivel nacional, provincial y/o local.",Luz,,
,1.3 Percepción y Actitudes,1.3.1,Visibilizar impactos negativos específicos del cambio climático según los diferentes sectores y las regiones del país.,Luz,,
,,1.3.2,Mejorar la percepción sobre la importancia de las medidas de adaptación al cambio climático.,Luz,,
,,1.3.3,Generar una mayor conciencia sobre la vulnerabilidad de las mujeres y LGTBI+ frente al cambio climático.,Luz,,
,,1.3.4,"Reducir el peso de las visión tecnocrática sobre la participación política, aumentando la percepción sobre la importancia de la participación ciudadana.",Luz,,
,,1.3.5,Mejorar el posicionamiento de las fuentes gubernamentales como actores sociales creíbles sobre el cambio climático.,Luz,,
2. Involucramiento social,2.1 Cambio cultural,2.1.1,"Aumentar la proporción de la población que cambia sus hábitos culturales, incrementando su resiliencia y promoviendo una ciudadanía responsable.",Luz,,
,2.2 Participación ciudadana,2.2.1,"Aumentar la cantidad de personas que se involucran activamente en temas de cambio climático y en defensa de un desarrollo equitativo intergeneracional, justo, solidario y compatible con los Objetivos de Desarrollo Sostenible.",Luz,,
3. Disminución de la Vulnerabilidad,3.1 Capacidad institucional,3.1.1,"(Aplicación del conocimiento) Aumentar la cantidad de áreas del gobierno a nivel nacional, provincial y local que aplican conocimientos sobre riesgos climáticos, incorporan la adaptación como tema transversal y saben planificar y compañar medidas de adaptación.",Luz,,
,,3.1.2,"(Planes de respuesta y sectoriales) Aumentar la cantidad de planes de respuesta y sectoriales que tienen un análisis de riesgo climático, medidas de adaptación y un sistema de monitoreo.",Luz,,
,,3.1.3,(Sistema Nacional de Información) Fortalecer la puesta en marcha y el funcionamiento del sistema de monitoreo y evaluación agregado para la adaptación.,Luz,,
,3.2 Energía,3.2.1,"Mejorar el mantenimiento de las redes de transmisión, la distribución de energía eléctrica y la diversificación de generación energética para soportar y enfrentar eventos climáticos extremos en el NOA, Cuyo y Patagonia.",Anita,,
,3.3 Agua,3.3.1,"Aumentar la disponibilidad de agua en cantidad y calidad en contexto urbano, especialmente en barrios populares, en todo el país.",Anita,,
,,3.3.2,Mejorar el manejo sostenible del agua y su acceso en áreas rurales en todo el país (en cantidad y calidad).,Anita,,
,3.4 Salud,3.4.1,"Disminuir daños físicos a personas, infecciones y afectaciones a la salud mental por inundaciones en las regiones Centro, NEA y NOA.",Anita,,
,,3.4.2,"Disminuir enfermedades y afectaciones al confort de la población urbana, especialmente en barrios populares, relacionadas con olas de calor en la región Centro.",Anita,,
,,3.4.3,Disminuir enfermedades endémicas generadas por cambios en el clima en las regiones Centro y NOA.,Anita,,
,"3.5 Agricultura,
ganadería
y pesca",3.5.1,"Mejorar la resiliencia y capacidad de adaptación de los sistemas productivos de la agricultura familiar, campesina e indígena para autoconsumo y venta ante inundaciones, sequías, cambios en los caudales de ríos, aumento de temperaturas, entre otras amenazas, en todo el país.",Anita,,
,3.6 Vivienda y hábitat,3.6.1,"Disminuir daños y/o pérdidas de viviendas debido a inundaciones en las regiones Centro, Cuyo, NEA y NOA.",Anita,,
,,3.6.2,Disminuir daños y/o pérdidas de viviendas debido a incendios de interfase en la región Patagonia.,Anita,,
,3.7 Producción industrial,3.7.1,"Mejorar la resiliencia y capacidad de adaptación de los sistemas productivos industriales ante inundaciones, sequías, aumento de temperaturas, entre otras amenazas, en todo el país.",Anita,,
,"3.8 Turismo, deporte y patrimonio cultural",3.8.1,"Disminuir las pérdidas de ingresos en la actividad turística, la afectación a actividades recreativas y deporte y al patrimonio cultural, debido a eventos climáticos extremos en el NOA, bajantes extraordinarias en el NEA, incendios y menor disponibilidad de agua y nieve en la región Patagonia.",Anita,,
,,3.8.2,"Disminuir las pérdidas de ingresos en la actividad turística debido al aumento del nivel mar, aumento de ondas de tormenta y sudestadas en la región Centro.",Anita,,
,3.9 Movilidad,3.9.1,"Mejorar la transitabilidad y la conectividad física de personas, insumos y servicios (p.ej. salud) en caso de eventos extremos (inundaciones, aludes, nevadas, etc.) en todo el país.",Anita,,
,,3.9.2,Mejorar la transitabilidad fluvial de insumos en caso de bajantes extraordinarias del Río Paraná.,Anita,,
,3.10 Servicios ecosistémicos,3.10.1,Disminuir los daños en ecosistemas debido a incendios en todas las regiones.,Anita,,
"4. Integración de comunidades y grupos sociales en situación de vulnerabilidad, enfoque de género y enfoque intergeneracional",4.1 Comunidades y grupos sociales en situación de vulnerabilidad,4.1.1,Mejorar la capacidad adaptativa de comunidades y grupos sociales en situación de vulnerabilidad en todo el país.,Anita,,
,4.2 Enfoque de género,4.2.1,Aumentar las medidas de adaptación y acciones género transformadoras en todo el país.,Anita,,
