"Adaptación, Mitigación o Pérdidas y daños",Código de medida,Línea/enfoque,Línea de acción,Título de medida,"Adaptación, Mitigación o Pérdidas y daños",Autoridad de aplicación,,Comentarios,1.1.1,1.2.1,1.2.2,1.2.3,1.2.4,1.3.1,1.3.2,1.3.3,1.3.4,1.3.5,2.1.1,2.2.1,3.1.1,3.1.2,3.1.3,3.2.1,3.3.1,3.3.2,3.4.1,3.4.2,3.4.3,3.5.1,3.6.1,3.6.2,3.7.1,3.8.1,3.8.2,3.9.1,3.9.2,3.10.1,4.1.1,4.2.1,4.3.1,5.1.1
,,,,,,,,,6,18,8,15,7,11,12,7,6,3,9,11,42,4,3,13,13,29,21,10,10,49,17,4,17,14,12,21,9,16,32,15,7,24
Adaptación,CB-01,Conservación de la biodiversidad y bienes comunes,Uso sostenible de la biodiversidad,Promover la conservación y el uso sostenible de la biodiversidad en agroecosistemas,Adaptación,Ministerio de Ambiente y Desarrollo Sostenible,3,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,x,,,
Adaptación,CB-02,Conservación de la biodiversidad y bienes comunes,Uso sostenible de la biodiversidad,Fortalecer iniciativas de aprovechamiento sostenible de productos forestales no madereros,Adaptación,Ministerio de Ambiente y Desarrollo Sostenible,1,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,
Adaptación,CB-03,Conservación de la biodiversidad y bienes comunes,Uso sostenible de la biodiversidad,Fortalecer el uso sostenible de camélidos nativos ,Adaptación,Ministerio de Ambiente y Desarrollo Sostenible,1,Conservación de ecosistemas (es más que agro),,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,
Adaptación,CB-04,Conservación de la biodiversidad y bienes comunes,Aumento de la superficie destinada a la conservación,Ampliar y fortalecer la Red de sitios Ramsar,Adaptación,Ministerio de Ambiente y Desarrollo Sostenible,5,Transversal: humedales,,,,,,,,,,,,,,,,,,x,,,,x,x,,x,,,x,,,,,,
Adaptación,CB-05,Conservación de la biodiversidad y bienes comunes,Aumento de la superficie destinada a la conservación,Incorporar ecosistemas subrepresentados en áreas protegidas nacionales,Adaptación,"Administración de Parques Nacionales, gobiernos subnacionales, OSC y otros organismos nacionales",3,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,x,,,,
Adaptación,CB-06,Conservación de la biodiversidad y bienes comunes,Aumento de la superficie destinada a la conservación,Promover la inclusión de glaciares en áreas protegidas,Adaptación,Ministerio de Ambiente y Desarrollo Sostenible,2,Transversal: Disponibilidad de agua,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,
Adaptación,CB-07,Conservación de la biodiversidad y bienes comunes,Incremento de la conectividad a nivel de paisaje,Transversalizar la adaptación en planes de gestión de Parques Nacionales,Adaptación,Administración de Parques Nacionales y Ministerio de Ambiente y Desarrollo Sostenible,1,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,
Adaptación,CB-08,Conservación de la biodiversidad y bienes comunes,Incremento de la conectividad a nivel de paisaje,Desarrollar alternativas de medios de vida para comunidades locales vulnerables en paisajes seleccionados,Adaptación,Administración de Parques Nacionales y Ministerio de Ambiente y Desarrollo Sostenible,4,Empleo en general,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,x,x,,
Adaptación,CB-09,Conservación de la biodiversidad y bienes comunes,Manejo adaptativo de ecosistemas,Fortalecer el Manejo Costero Integrado,Adaptación,Ministerio de Ambiente y Desarrollo Sostenible,3,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,x,,,,,,,
Adaptación y Mitigación,CB-10,Conservación de la biodiversidad y bienes comunes,Manejo adaptativo de ecosistemas,Fortalecer prácticas de manejo adaptativo orientadas a la evaluación forrajera y manejo ganadero,Adaptación,Ministerio de Ambiente y Desarrollo Sostenible,2,La reducción de vulnerabilidades de la AFCI es dudosa,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x
Adaptación,CB-11,Conservación de la biodiversidad y bienes comunes,Manejo adaptativo de ecosistemas,Fomentar el uso sostenible de humedales,Adaptación,Ministerio de Ambiente y Desarrollo Sostenible,8,"Transversal: humedales
Tienen en cuenta lineamientos para el uso sostenible en contexto de CC. Ver si darles 3.1.1.",,,,,,,,,,,,,x,,,,,x,x,,,x,x,,x,,x,x,,,,,,
Adaptación,CB-12,Conservación de la biodiversidad y bienes comunes,Manejo adaptativo de ecosistemas,Diagnosticar y monitorear pesquerías bajo escenarios de cambio climático en el corredor fluvial Paraná-Paraguay,Adaptación,Ministerio de Ambiente y Desarrollo Sostenible,0,"Generación de información
No tenemos metas que incluyan pescadores/as",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación,CB-13,Conservación de la biodiversidad y bienes comunes,Manejo adaptativo de ecosistemas,Fortalecer la investigación aplicada para la conservación con perspectiva de cambio climático,Adaptación,"Administración de Parques Nacionales y Ministerio de Ciencia, Tecnología e Innovación",0,"Generación de información
Conservación de ecosistemas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación,CB-14,Conservación de la biodiversidad y bienes comunes,Ordenamiento Ambiental del Territorio,Incorporar humedales y zonas costeras como infraestructura verde y azul como medidas de adaptación al cambio climático,Adaptación,Ministerio de Ambiente y Desarrollo Sostenible,8,"Transversal: humedales
Estarían transversalizando adaptación en obra pública. Ver si darles 3.1.1.",,,,,,,,,,,,,x,,,,,x,x,,,x,x,,x,,x,x,,,,,,
Adaptación y Mitigación,CB-15,Conservación de la biodiversidad y bienes comunes,Ordenamiento Ambiental del Territorio,Generar información con perspectiva climática para la gestión ambiental de los humedales ,Adaptación y Mitigación,Ministerio de Ambiente y Desarrollo Sostenible,0,Investión/generación de información,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación y Mitigación,CB-16,Conservación de la biodiversidad y bienes comunes,Ordenamiento Ambiental del Territorio,Evitar la deforestación ilegal y reducir la deforestación legal,Adaptación y Mitigación,Ministerio de Ambiente y Desarrollo Sostenible,6,"Asociado a inundación, pero es más que eso",,,,,,,,,,,,,,,,,,x,x,,,x,x,,x,,,x,,,,,,
Adaptación y Mitigación,CB-17,Conservación de la biodiversidad y bienes comunes,Ordenamiento Ambiental del Territorio,Promover la actualización del Ordenamiento Territorial de los Bosques Nativos,Adaptación y Mitigación,Ministerio de Ambiente y Desarrollo Sostenible,6,"Asociado a inundación, pero es más que eso",,,,,,,,,,,,,,,,,,x,x,,,x,x,,x,,,x,,,,,,
Adaptación,CB-18,Conservación de la biodiversidad y bienes comunes,Ordenamiento Ambiental del Territorio,Elaborar cartografía de las zonas más vulnerables a la degradación de tierras y la desertificación debido a los factores climáticos en los futuros escenarios.,Adaptación,Ministerio de Ambiente y Desarrollo Sostenible,0,Generación de información,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación,CB-19,Conservación de la biodiversidad y bienes comunes,Ordenamiento Ambiental del Territorio,Elaborar de un diagnóstico de impactos y riesgos producto del cambio climáticos sobre ambientes glaciares,Adaptación,Ministerio de Ambiente y Desarrollo Sostenible,0,Generación de información,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación,CB-20,Conservación de la biodiversidad y bienes comunes,Ordenamiento Ambiental del Territorio,Generar criterios de identificación de suelos congelados con vistas a la elaboración de un plan para su relevamiento,Adaptación,Ministerio de Ambiente y Desarrollo Sostenible,0,Investión/generación de información,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación,CB-21,Conservación de la biodiversidad y bienes comunes,Ordenamiento Ambiental del Territorio,Impulsar el Plan Regional de Adaptación al Cambio Climático del Delta del Río Paraná,Adaptación,Ministerio de Ambiente y Desarrollo Sostenible,1,Las metas e indicadores son si se implementa o no el plan,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
Adaptación,CB-22,Conservación de la biodiversidad y bienes comunes,Restauración y conservación de ecosistemas,Fortalecer el Programa de Conservación Inclusiva ,Adaptación,Ministerio de Ambiente y Desarrollo Sostenible,1,"Se consideró la prioritaria. Indirectamente, el Plan abordaría otras metas.",,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,
Adaptación,CB-23,Conservación de la biodiversidad y bienes comunes,Restauración y conservación de ecosistemas,Controlar especies exóticas invasoras en territorios bajo administración de APN y otras áreas de influencia,Adaptación,Administración de Parques Nacionales,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
